     x      y  label
18.750000000 22.950000000 2
21.450000000 21.450000000 2
20.500000000 22.850000000 2
20.650000000 24.300000000 2
21.700000000 23.800000000 2
23.100000000 21.700000000 2
13.350000000 28.450000000 2
12.400000000 27.850000000 2
12.200000000 28.650000000 2
12.900000000 26.500000000 2
11.150000000 28.700000000 2
10.500000000 28.350000000 2
10.250000000 27.250000000 2
12.600000000 24.050000000 2
10.050000000 25.950000000 2
8.500000000 27.050000000 2
7.550000000 26.300000000 2
9.400000000 25.550000000 2
10.550000000 24.350000000 2
5.400000000 25.250000000 2
4.300000000 24.000000000 2
6.100000000 22.600000000 2
6.400000000 21.950000000 2
8.450000000 17.200000000 3
12.300000000 22.750000000 2
9.950000000 19.800000000 2
12.000000000 20.000000000 2
11.400000000 19.250000000 2
15.200000000 18.200000000 2
31.900000000 4.400000000 4
32.800000000 6.000000000 4
35.450000000 4.100000000 4
32.300000000 7.650000000 4
31.800000000 9.450000000 4
34.700000000 8.000000000 4
34.550000000 8.850000000 4
31.200000000 12.000000000 4
33.100000000 12.750000000 4
35.800000000 11.550000000 4
34.050000000 13.050000000 4
11.050000000 9.100000000 3
14.300000000 12.450000000 3
14.450000000 10.750000000 3
12.350000000 8.450000000 3
12.400000000 7.100000000 3
15.100000000 10.250000000 3
16.750000000 11.500000000 3
15.050000000 7.800000000 3
10.600000000 5.050000000 3
13.900000000 5.300000000 3
12.750000000 3.000000000 3
15.150000000 7.100000000 3
15.250000000 2.700000000 3
15.700000000 6.350000000 3
17.300000000 4.800000000 3
18.150000000 1.950000000 3
20.450000000 2.800000000 3
18.650000000 4.750000000 3
16.600000000 7.950000000 3
20.800000000 4.700000000 3
20.550000000 5.750000000 3
17.500000000 8.250000000 3
18.000000000 8.550000000 3
20.050000000 6.950000000 3
24.150000000 4.550000000 3
20.000000000 8.200000000 3
16.950000000 10.350000000 3
19.000000000 11.650000000 3
20.700000000 10.650000000 3
20.950000000 10.200000000 3
21.750000000 8.200000000 3
23.000000000 7.350000000 3
23.700000000 8.850000000 3
5.150000000 3.450000000 2
4.950000000 4.050000000 2
7.100000000 4.300000000 2
8.500000000 3.250000000 2
32.450000000 16.750000000 4
30.550000000 18.800000000 4
31.550000000 19.650000000 4
33.700000000 17.000000000 4
31.750000000 20.250000000 4
31.550000000 22.200000000 4
30.950000000 24.150000000 4
33.650000000 21.900000000 4
33.800000000 20.400000000 4
36.350000000 20.600000000 4
34.600000000 22.050000000 4
34.900000000 23.500000000 4
33.600000000 23.900000000 4
33.700000000 24.850000000 1
30.250000000 24.300000000 4
31.250000000 27.850000000 1
33.850000000 26.050000000 1
34.650000000 26.850000000 1
9.700000000 12.100000000 2
5.700000000 12.250000000 2
7.850000000 11.850000000 2
7.650000000 11.100000000 2
8.300000000 10.550000000 2
